,team_number,auto_hco,auto_hcu,auto_mco,auto_mcu,auto_lp,teleop_hco,teleop_hcu,teleop_mco,teleop_mcu,teleop_lp
0,-1,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,1.4166666666666667
1,-111,0.0,0.0,0.0,0.0,0.75,0.0,0.4166666666666667,0.0,0.0,8.0
2,-1138,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,1.0,0.0,0.0,0.0
3,-118,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,1.25,0.0,0.0,0.0
4,-1323,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,1.75,0.0,0.0,0.0
5,-1339,1.0833333333333333,0.0,0.5833333333333334,0.0,0.0,4.0,0.0,0.5833333333333334,0.0,0.0
6,-1466,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,3.25,2.25,0.0
7,-148,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,2.3333333333333335,0.0,0.08333333333333333,0.0
8,-159,0.0,0.0,0.0,0.0,0.25,0.0,1.3333333333333333,0.0,0.0,0.25
9,-16,0.0,0.0,0.6666666666666666,0.5833333333333334,0.0,0.0,0.5,4.166666666666667,2.5833333333333335,0.0
10,-1619,0.9166666666666666,0.4166666666666667,0.0,0.0,0.0,3.25,2.0,0.0,0.0,0.0
11,-1678,0.0,0.0,0.0,0.0,0.5833333333333334,3.0833333333333335,0.0,0.0,0.0,0.5833333333333334
12,-1706,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.3333333333333333,0.0,0.0,8.0
13,-1730,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.08333333333333333,1.5833333333333333,3.8333333333333335,0.0,0.0
14,-179,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.25,3.8333333333333335,2.4166666666666665,0.0
15,-1912,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.0833333333333333,0.0,0.0,0.0
16,-195,1.4166666666666667,0.5833333333333334,0.0,0.0,0.0,4.0,1.5,0.0,0.0,0.0
17,-2056,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.6666666666666667,3.3333333333333335,0.0,0.0
18,-217,0.0,0.0,0.75,0.5833333333333334,0.0,2.1666666666666665,1.3333333333333333,0.75,0.5833333333333334,0.0
19,-2240,0.0,0.0,1.0,0.5,0.0,2.3333333333333335,1.25,1.0,0.5,0.0
20,-2468,0.8333333333333334,0.0,0.25,0.0,0.0,4.083333333333333,0.0,0.25,0.0,0.0
21,-254,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,3.5833333333333335,2.5,0.0
22,-27,0.0,0.25,0.25,0.0,0.0,0.25,1.5,3.25,0.0,0.0
23,-2910,1.0,0.0,0.6666666666666666,0.0,0.0,3.9166666666666665,0.0,0.6666666666666666,0.0,0.0
24,-2996,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0
25,-3175,0.0,0.16666666666666666,0.0,0.0,0.25,0.0,1.75,0.0,0.0,0.25
26,-321,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,2.0833333333333335,4.083333333333333,0.0,0.0
27,-3374,0.0,0.25,0.25,0.0,0.0,0.08333333333333333,1.5833333333333333,3.9166666666666665,0.0,0.0
28,-359,0.25,0.0,0.25,0.0,0.4166666666666667,3.0833333333333335,0.0,0.25,0.0,0.4166666666666667
29,-3937,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,1.3333333333333333,0.0,0.0,0.0
30,-3940,0.0,0.0,0.8333333333333334,0.6666666666666666,0.0,2.1666666666666665,1.4166666666666667,0.8333333333333334,0.6666666666666666,0.0
31,-4068,0.0,0.0,0.0,0.08333333333333333,0.0,1.8333333333333333,1.6666666666666667,0.0,0.08333333333333333,0.0
32,-422,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0
33,-4414,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,3.1666666666666665,2.25,0.0
